Source,Type,Target,Weight
Ivan,Undirected,Gavrilo,6
Ivan,Undirected,Vozhevatov,5
Ivan,Undirected,Knurov,5
Ivan,Undirected,Ogudalova,3
Ivan,Undirected,Karandyshev,4
Ivan,Undirected,Larisa,3
Ivan,Undirected,Paratov,3
Ivan,Undirected,Robinzon,5
Ivan,Undirected,EvfrosinjaPotapovna,3
Ivan,Undirected,Ilja,1
Gavrilo,Undirected,Vozhevatov,4
Gavrilo,Undirected,Knurov,4
Gavrilo,Undirected,Ogudalova,1
Gavrilo,Undirected,Karandyshev,1
Gavrilo,Undirected,Larisa,2
Gavrilo,Undirected,Paratov,2
Gavrilo,Undirected,Robinzon,2
Gavrilo,Undirected,Ilja,1
Vozhevatov,Undirected,Knurov,13
Vozhevatov,Undirected,Ogudalova,5
Vozhevatov,Undirected,Karandyshev,6
Vozhevatov,Undirected,Larisa,5
Vozhevatov,Undirected,Paratov,14
Vozhevatov,Undirected,Robinzon,12
Vozhevatov,Undirected,Ilja,2
Vozhevatov,Undirected,EvfrosinjaPotapovna,1
Knurov,Undirected,Ogudalova,4
Knurov,Undirected,Karandyshev,4
Knurov,Undirected,Larisa,5
Knurov,Undirected,Paratov,9
Knurov,Undirected,Robinzon,8
Knurov,Undirected,Ilja,2
Knurov,Undirected,EvfrosinjaPotapovna,1
Ogudalova,Undirected,Karandyshev,8
Ogudalova,Undirected,Larisa,10
Ogudalova,Undirected,Ilja,2
Ogudalova,Undirected,Paratov,6
Ogudalova,Undirected,Robinzon,4
Ogudalova,Undirected,EvfrosinjaPotapovna,3
Karandyshev,Undirected,Larisa,7
Karandyshev,Undirected,Paratov,6
Karandyshev,Undirected,Robinzon,7
Karandyshev,Undirected,Ilja,1
Karandyshev,Undirected,EvfrosinjaPotapovna,2
Larisa,Undirected,Ilja,2
Larisa,Undirected,Paratov,8
Larisa,Undirected,EvfrosinjaPotapovna,2
Larisa,Undirected,Robinzon,5
Paratov,Undirected,Robinzon,12
Paratov,Undirected,Ilja,2
Paratov,Undirected,EvfrosinjaPotapovna,1
Robinzon,Undirected,Ilja,1
Robinzon,Undirected,EvfrosinjaPotapovna,1
Ilja,Undirected,EvfrosinjaPotapovna,1
